"","F2","F6","F9","F11","F20","F26","F27","F28","F31","F33","F127","F201","F202"
"1","Рыбинский район",2016-01-02,0,"Сельский населенный пункт","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"2","Рыбинский район",2016-01-04,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"3","Рыбинский район",2016-01-09,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"4","Рыбинский район",2016-01-09,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"5","Рыбинский район",2016-01-12,0,"Сельский населенный пункт","Легковой автомобиль","IV","Отсек двигателя","Код конструкции не указан","Изоляционные материалы токоведущих частей","Неисправность электрооборудования транспортного средства",0,1,0
"6","Рыбинский район",2016-01-13,0,"Сельский населенный пункт","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"7","Рыбинский район",2016-01-13,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"8","Рыбинский район",2016-01-15,0,"Город","Многоквартирный жилой дом","V","Веранда, терраса, тамбур","Стена, перегородка","Деревянные, бумажные изделия, материалы","Недостаток конструкции и изготовления электрооборудования",0,1,0
"9","Рыбинский район",2016-01-15,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"10","Курагинский район",2016-01-02,1,"Населенный пункт городского типа","Одноквартирный жилой дом","V","Кухня","Пол","Деревянные, бумажные изделия, материалы","Прочие причины, связанные с неосторожным обращением с огнем",87,1,0
"11","Курагинский район",2016-01-03,0,"Населенный пункт городского типа","Специальная техника","Отсутствует","Отсек двигателя","Не установлена","ГЖ","Неисправность систем, механизмов и узлов транспортного средства",0,1,0
"12","Курагинский район",2016-01-04,0,"Населенный пункт городского типа","Одноквартирный жилой дом","V","Подсобные и вспомогательные производственные помещения","Стена, перегородка","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
"13","Курагинский район",2016-01-05,2,"Сельский населенный пункт","Одноквартирный жилой дом","V","Кухня","Стена, перегородка","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",74,1,0
"14","Курагинский район",2016-01-06,0,"Населенный пункт городского типа","Надворная постройка","V","Подсобное помещение","Стена, перегородка","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
"15","Курагинский район",2016-01-07,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"16","Курагинский район",2016-01-09,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Чердачное помещение","Потолочное перекрытие (подвесной потолок)","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
"17","Курагинский район",2016-01-09,0,"Населенный пункт городского типа","Гараж, тент–укрытие и т.д.","V","Помещение для хранения и ремонта транспорта (гараж)","Стена, перегородка","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
"18","Курагинский район",2016-01-06,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"19","Курагинский район",2016-01-13,0,"Город","Одноквартирный жилой дом","V","Чердачное помещение","Кровля","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
"20","Курагинский район",2016-01-18,0,"Сельский населенный пункт","Легковой автомобиль","Отсутствует","Отсек двигателя","Код конструкции не указан","Не установлен","Неисправность систем, механизмов и узлов транспортного средства",0,1,0
"21","Курагинский район",2016-01-18,0,"Сельский населенный пункт","Надворная постройка","V","Подсобное помещение","Потолочное перекрытие (подвесной потолок)","Деревянные, бумажные изделия, материалы","Нарушение правил монтажа электрооборудования",0,1,0
"22","Курагинский район",2016-01-20,0,"Населенный пункт городского типа","Надворная постройка","V","Подсобное помещение","Пол","Деревянные, бумажные изделия, материалы","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,1,0
"23","Енисейский район",2016-01-06,0,"Город","Многоквартирный жилой дом","V","Кухня","Потолочное перекрытие (подвесной потолок)","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"24","Енисейский район",2016-01-12,2,"Сельский населенный пункт","Одноквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Пол","Деревянные, бумажные изделия, материалы","Неосторожность при курении",65,1,0
"25","Енисейский район",2016-01-16,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"26","Енисейский район",2016-01-16,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"27","Енисейский район",2016-01-12,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"28","Идринский район",2016-01-13,0,"Сельский населенный пункт","Легковой автомобиль","Отсутствует","Отсек двигателя","Не установлена","Прочие материалы","Прочие причины по группе нарушение правил устройства и эксплуатации транспортных средств",0,1,0
"29","Идринский район",2016-01-13,0,"Сельский населенный пункт","Магазины со смешанным ассортиментом товаров","V","Помещение котельной, теплогенерирующих и др. вспомогательных установок","Потолочное перекрытие (подвесной потолок)","Изоляционные материалы токоведущих частей","Прочие причины, связанные с нарушением правил устройства и эксплуатации электрооборудования",0,1,0
"30","Идринский район",2016-01-16,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Кухня","Пол","Строительные материалы","Неосторожность при курении",0,1,0
"31","Идринский район",2016-01-20,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Отсутствует","На обочине дороги","Не установлена","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"32","Пировский район",2016-01-09,0,"Вне территории населенного пункта","Специальная техника","Отсутствует","Прочее по данной группе (отсек транспортного средства)","Код конструкции не указан","Изоляционные материалы токоведущих частей","Прочие причины по группе нарушение правил устройства и эксплуатации транспортных средств",0,1,0
"33","Уярский район",2016-01-04,0,"Город","Прочие учреждения обслуживания населения","V","Наружный щит, реклама, фасад, стена здания","Стена, перегородка","Отделочные материалы","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,1,0
"34","Уярский район",2016-01-05,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На свалке","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"35","Уярский район",2016-01-06,0,"Город","Котельная","IV","Помещение котельной, теплогенерирующих и др. вспомогательных установок","Стена, перегородка","Отделочные материалы","Неправильное устройство или неисправность печи",0,1,0
"36","Уярский район",2016-01-09,0,"Сельский населенный пункт","Баня, сауна на территории домовладения","V","Сауна, парилка","Пол","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"37","Уярский район",2016-01-12,0,"Город","Неэксплуатируемое здание (сооружение)","Не указана","Бесхозное здание","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"38","Уярский район",2016-01-13,0,"Город","Надворная постройка","V","Кухня","Пол","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"39","Уярский район",2016-01-16,0,"Город","Баня, сауна на территории домовладения","V","Сауна, парилка","Пол","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
"40","Кежемский район",2016-01-16,0,"Город","Баня, сауна на территории домовладения","V","Пристройка к зданию","Пол","Одежда, текстиль, спальные принадлежности","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"41","Кежемский район",2016-01-20,0,"Город","Одноквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Пол","Строительные материалы","Недостаток конструкции и изготовления электрооборудования",0,1,0
"42","Мотыгинский район",2016-01-04,2,"Сельский населенный пункт","Многоквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Пол","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации бытовых электроприборов",61,1,0
"43","Мотыгинский район",2016-01-08,0,"Сельский населенный пункт","Неэксплуатируемое здание (сооружение)","Не указана","Бесхозное здание","Пол","Материал не указан","Причина не указана",0,0,1
"44","Мотыгинский район",2016-01-09,0,"Населенный пункт городского типа","Многоквартирный жилой дом","V","Подвальное помещение","Стена, перегородка","Деревянные, бумажные изделия, материалы","Нарушение правил технической эксплуатации электрооборудования",0,1,0
"45","Мотыгинский район",2016-01-16,0,"Населенный пункт городского типа","Неэксплуатируемое здание (сооружение)","V","Подсобное помещение","Стена, перегородка","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации бытовых электроприборов",0,1,0
"46","Лесосибирск",2016-01-03,0,"Город","Гараж, тент–укрытие и т.д.","II","Помещение для хранения и ремонта транспорта (гараж)","Пол","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
"47","Лесосибирск",2016-01-04,0,"Город","Гараж, тент–укрытие и т.д.","V","Складское помещение, кладовая","Пол","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"48","Лесосибирск",2016-01-05,0,"Город","Гараж, тент–укрытие и т.д.","II","Помещение для хранения и ремонта транспорта (гараж)","Стена, перегородка","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"49","Лесосибирск",2016-01-05,0,"Город","Обособленная свалка бытовых и промышленных отходов вне жилой зоны и территории предприятия, организации, учреждения","Не указана","На свалке","Пол","Материал не указан","Причина не указана",0,0,1
"50","Лесосибирск",2016-01-05,0,"Город","Одноквартирный жилой дом","V","Помещение котельной, теплогенерирующих и др. вспомогательных установок","Стена, перегородка","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"51","Лесосибирск",2016-01-05,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Пол","Материал не указан","Причина не указана",0,0,1
"52","Лесосибирск",2016-01-06,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Пол","Материал не указан","Причина не указана",0,0,1
"53","Лесосибирск",2016-01-08,0,"Город","Легковой автомобиль","Отсутствует","Отсек двигателя","Код конструкции не указан","Резинотехнические изделия и материалы","Неисправность систем, механизмов и узлов транспортного средства",0,1,0
"54","Лесосибирск",2016-01-09,0,"Город","Обособленная свалка бытовых и промышленных отходов вне жилой зоны и территории предприятия, организации, учреждения","Не указана","На свалке","Пол","Материал не указан","Причина не указана",0,0,1
"55","Лесосибирск",2016-01-09,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Пол","Материал не указан","Причина не указана",0,0,1
"56","Лесосибирск",2016-01-10,0,"Город","Многоквартирный жилой дом","V","Коридор","Стена, перегородка","Деревянные, бумажные изделия, материалы","Нарушение правил монтажа электрооборудования",0,1,0
"57","Лесосибирск",2016-01-10,0,"Город","Обособленная свалка бытовых и промышленных отходов вне жилой зоны и территории предприятия, организации, учреждения","Не указана","На свалке","Пол","Материал не указан","Причина не указана",0,0,1
"58","Лесосибирск",2016-01-15,0,"Город","Надворная постройка","V","Помещения для содержания животных, птицы","Стена, перегородка","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
"59","Лесосибирск",2016-01-16,0,"Город","Многоквартирный жилой дом","Не указана","В мусоропроводе жилого здания (мусоросборнике)","Пол","Материал не указан","Причина не указана",0,0,1
"60","Дзержинский район",2016-01-11,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"61","Дзержинский район",2016-01-10,0,"Сельский населенный пункт","Многоквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Потолочное перекрытие (подвесной потолок)","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
"62","Дзержинский район",2016-01-22,0,"Вне территории населенного пункта","Легковой автомобиль","Не указана","Бесхозное транспортное средство","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"63","Дзержинский район",2016-01-20,0,"Сельский населенный пункт","Надворная постройка","V","Прочие помещения","Стена, перегородка","Деревянные, бумажные изделия, материалы","Оставление источника открытого горения, тления (кроме сигареты) без присмотра",0,1,0
"64","Абанский район",2016-01-01,1,"Сельский населенный пункт","Одноквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Пол","Одежда, текстиль, спальные принадлежности","Неосторожность при курении",51,1,0
"65","Абанский район",2016-01-09,0,"Сельский населенный пункт","Надворная постройка","V","Подсобные и вспомогательные производственные помещения","Потолочное перекрытие (подвесной потолок)","Отделочные материалы","Неправильное устройство или неисправность печи",0,1,0
"66","Абанский район",2016-01-11,0,"Сельский населенный пункт","Надворная постройка","V","Помещение котельной, теплогенерирующих и др. вспомогательных установок","Потолочное перекрытие (подвесной потолок)","Отделочные материалы","Неправильное устройство или неисправность печи",0,1,0
"67","Абанский район",2016-01-13,0,"Сельский населенный пункт","Многоквартирный жилой дом","V","Помещение котельной, теплогенерирующих и др. вспомогательных установок","Потолочное перекрытие (подвесной потолок)","Отделочные материалы","Нарушение правил монтажа электрооборудования",0,1,0
"68","Абанский район",2016-01-16,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Пол","Отделочные материалы","Неправильное устройство или неисправность печи",0,1,0
"69","Абанский район",2016-01-19,0,"Сельский населенный пункт","Надворная постройка","V","Помещения для содержания животных, птицы","Потолочное перекрытие (подвесной потолок)","Отделочные материалы","Нарушение правил монтажа электрооборудования",0,1,0
"70","Ирбейский район",2016-01-07,0,"Сельский населенный пункт","Многоквартирный жилой дом","V","Кухня","Стена, перегородка","Изоляционные материалы токоведущих частей","Прочие причины, связанные с нарушением правил устройства и эксплуатации электрооборудования",0,1,0
"71","Ирбейский район",2016-01-07,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На свалке","Не установлена","Материал не указан","Причина не указана",0,0,1
"72","Ирбейский район",2016-01-09,0,"Сельский населенный пункт","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"73","Ирбейский район",2016-01-10,0,"Сельский населенный пункт","Многоквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Пол","Изоляционные материалы токоведущих частей","Нарушение правил технической эксплуатации электрооборудования",0,1,0
"74","Ирбейский район",2016-01-12,1,"Сельский населенный пункт","Одноквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Пол","Деревянные, бумажные изделия, материалы","Неосторожность при курении",59,1,0
"75","Ирбейский район",2016-01-20,0,"Сельский населенный пункт","Надворная постройка","V","Прочие помещения","Стена, перегородка","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"76","Краснотуранский район",2016-01-04,0,"Сельский населенный пункт","Многоквартирный жилой дом","V","Ванная, душевая, туалет","Потолочное перекрытие (подвесной потолок)","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при проведении огневых работ",0,1,0
"77","Краснотуранский район",2016-01-21,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Кухня","Пол","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"78","Шарыповский район",2016-01-01,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"79","Шарыповский район ",2016-01-01,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Кухня","Потолочное перекрытие (подвесной потолок)","Отделочные материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"80","Шарыповский район",2016-01-01,0,"Город","Одноквартирный жилой дом","V","Сауна, парилка","Потолочное перекрытие (подвесной потолок)","Отделочные материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"81","Шарыповский район ",2016-01-10,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"82","Шарыповский район",2016-01-11,0,"Город","Одноквартирный жилой дом","V","Помещение котельной, теплогенерирующих и др. вспомогательных установок","Стена, перегородка","Отделочные материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"83","Шарыповский район ",2016-01-07,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"84","Шарыповский район",2016-01-06,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"85","Шарыповский район",2016-01-13,0,"Город","Баня, сауна на территории домовладения","V","Сауна, парилка","Стена, перегородка","Отделочные материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"86","Шарыповский район ",2016-01-16,0,"Сельский населенный пункт","Надворная постройка","V","Помещения для содержания животных, птицы","Стена, перегородка","Изоляционные материалы токоведущих частей","Нарушение правил технической эксплуатации электрооборудования",0,1,0
"87","Шарыповский район ",2016-01-17,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Веранда, терраса, тамбур","Стена, перегородка","Изоляционные материалы токоведущих частей","Нарушение правил технической эксплуатации электрооборудования",0,1,0
"88","Шарыповский район ",2016-01-18,0,"Сельский населенный пункт","Баня, сауна на территории домовладения","V","Сауна, парилка","Крыша","Отделочные материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"89","Шарыповский район ",2016-01-18,0,"Сельский населенный пункт","Баня, сауна на территории домовладения","V","Сауна, парилка","Крыша","Отделочные материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"90","Шарыповский район",2016-01-21,0,"Населенный пункт городского типа","Баня, сауна на территории домовладения","V","Сауна, парилка","Стена, перегородка","Изоляционные материалы токоведущих частей","Нарушение правил технической эксплуатации электрооборудования",0,1,0
"91","Шарыповский район ",2016-01-04,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"92","Шарыповский район ",2016-01-12,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"93","Шарыповский район",2016-01-12,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"94","Шарыповский район ",2016-01-20,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"95","Шарыповский район",2016-01-24,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"96","Сухобузимский район",2016-01-03,0,"Сельский населенный пункт","Легковой автомобиль","Отсутствует","Салон, кузов","Код конструкции не указан","Полимерные материалы","Неисправность систем, механизмов и узлов транспортного средства",0,1,0
"97","Сухобузимский район",2016-01-10,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Дверь, ворота, люк","Одежда, текстиль, спальные принадлежности","Нарушение правил пожарной безопасности при эксплуатации бытовых электроприборов",0,1,0
"98","Сухобузимский район",2016-01-12,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Кухня","Потолочное перекрытие (подвесной потолок)","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"99","Сухобузимский район",2016-01-21,0,"Сельский населенный пункт","Легковой автомобиль","Отсутствует","Отсек двигателя","Код конструкции не указан","Изоляционные материалы токоведущих частей","Неисправность электрооборудования транспортного средства",0,1,0
"100","Сухобузимский район",2016-01-16,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"101","Сухобузимский район",2016-01-23,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Потолочное перекрытие (подвесной потолок)","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"102","Сухобузимский район",2016-01-23,0,"Сельский населенный пункт","Надворная постройка","V","Помещения для содержания животных, птицы","Стена, перегородка","Деревянные, бумажные изделия, материалы","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"103","Ирбейский район",2016-01-26,1,"Сельский населенный пункт","Одноквартирный жилой дом","V","Кухня","Пол","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",79,1,0
"104","Большеулуйский район",2016-01-09,0,"Сельский населенный пункт","Баня, сауна на территории домовладения","V","Сауна, парилка","Потолочное перекрытие (подвесной потолок)","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
