"","F2","F6","F9","F11","F20","F26","F27","F28","F31","F33","F127","F201","F202"
"13731","Красноярск (Свердловский район)",2016-10-31,0,"Город","Многоквартирный жилой дом","II","Комната, жилое, спальное помещение, палата","Пол","Одежда, текстиль, спальные принадлежности","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13732","Красноярск (Кировский район)",2016-11-01,1,"Город","Многоквартирный жилой дом","II","Комната, жилое, спальное помещение, палата","Пол","Мебель","Прочие причины, связанные с неосторожным обращением с огнем",47,1,0
"13733","Красноярск (Центральный район)",2016-10-26,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Не установлена","Материал не указан","Причина не указана",0,0,1
"13734","Красноярск (Центральный район)",2016-10-26,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"13735","Красноярск (Центральный район)",2016-10-30,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13736","Красноярск (Октябрьский район)",2016-10-23,0,"Город","Обособленная свалка бытовых и промышленных отходов вне жилой зоны и территории предприятия, организации, учреждения","Не указана","На свалке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13737","Красноярск (Октябрьский район)",2016-10-24,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13738","Красноярск (Октябрьский район)",2016-10-24,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13739","Красноярск (Октябрьский район)",2016-10-24,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13740","Красноярск (Октябрьский район)",2016-10-24,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
